,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-6624000000.0,-6906000000.0,-2560000000.0
Total Unusual Items,-1646000000.0,19000000.0,2000000.0
Total Unusual Items Excluding Goodwill,-1646000000.0,19000000.0,2000000.0
Net Income From Continuing Operation Net Minority Interest,-10597000000.0,-8645000000.0,-3441000000.0
Reconciled Depreciation,1467000000.0,1128000000.0,484000000.0
Reconciled Cost Of Revenue,16675000000.0,16231000000.0,3860000000.0
EBITDA,-8270000000.0,-6887000000.0,-2558000000.0
EBIT,-9737000000.0,-8015000000.0,-3042000000.0
Net Interest Income,-687000000.0,-568000000.0,-385000000.0
Interest Expense,860000000.0,630000000.0,399000000.0
Interest Income,196000000.0,82000000.0,22000000.0
Normalized Income,-8951000000.0,-8664000000.0,-3443000000.0
Net Income From Continuing And Discontinued Operation,-10597000000.0,-8645000000.0,-3441000000.0
Total Expenses,25768000000.0,25874000000.0,7130000000.0
Rent Expense Supplemental,119000000.0,95000000.0,45000000.0
Diluted Average Shares,372459668.0,372459668.0,372459668.0
Basic Average Shares,372459668.0,372459668.0,372459668.0
Diluted EPS,-28.451403,-23.210567,-9.238584
Basic EPS,-28.451403,-23.210567,-9.238584
Diluted NI Availto Com Stockholders,-10597000000.0,-8645000000.0,-3441000000.0
Net Income Common Stockholders,-10597000000.0,-8645000000.0,-3441000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-10597000000.0,-8645000000.0,-3441000000.0
Net Income Including Noncontrolling Interests,-10597000000.0,-8645000000.0,-3441000000.0
Net Income Continuous Operations,-10597000000.0,-8645000000.0,-3441000000.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-10597000000.0,-8645000000.0,-3441000000.0
Other Non Operating Income Expenses,7000000.0,4000000.0,7000000.0
Special Income Charges,-1761000000.0,-101000000.0,-18000000.0
Other Special Charges,1755000000.0,101000000.0,18000000.0
Write Off,6000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-687000000.0,-568000000.0,-385000000.0
Total Other Finance Cost,23000000.0,20000000.0,8000000.0
Interest Expense Non Operating,860000000.0,630000000.0,399000000.0
Interest Income Non Operating,196000000.0,82000000.0,22000000.0
Operating Income,-8257000000.0,-8078000000.0,-3045000000.0
Operating Expense,9093000000.0,9643000000.0,3270000000.0
Other Operating Expenses,1895000000.0,2066000000.0,778000000.0
Depreciation And Amortization In Income Statement,1467000000.0,1128000000.0,484000000.0
Amortization,809000000.0,669000000.0,189000000.0
Depreciation Income Statement,658000000.0,459000000.0,295000000.0
Selling General And Administration,1909000000.0,2931000000.0,801000000.0
Selling And Marketing Expense,1120000000.0,2193000000.0,510000000.0
General And Administrative Expense,789000000.0,738000000.0,291000000.0
Rent And Landing Fees,119000000.0,95000000.0,45000000.0
Gross Profit,836000000.0,1565000000.0,225000000.0
Cost Of Revenue,16675000000.0,16231000000.0,3860000000.0
Total Revenue,17511000000.0,17796000000.0,4085000000.0
Operating Revenue,17511000000.0,17796000000.0,4085000000.0
