,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-164114.429309,0.0,0.0
Tax Rate For Calcs,0.273524,0.294106,0.3
Normalized EBITDA,21714500000.0,18190100000.0,1523020000.0
Total Unusual Items,-600000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-600000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,4754800000.0,3428500000.0,1712190000.0
Reconciled Depreciation,7582500000.0,6427500000.0,499060000.0
Reconciled Cost Of Revenue,1446400000.0,1205600000.0,91830000.0
EBITDA,21713900000.0,18190100000.0,1523020000.0
EBIT,14131400000.0,11762600000.0,1023960000.0
Net Interest Income,-5525700000.0,-6493500000.0,-496510000.0
Interest Expense,7605100000.0,6905500000.0,498520000.0
Interest Income,2137600000.0,443300000.0,10910000.0
Normalized Income,4755235885.570691,3428500000.0,1712190000.0
Net Income From Continuing And Discontinued Operation,4754800000.0,3428500000.0,1712190000.0
Total Expenses,9805500000.0,7842600000.0,623680000.0
Rent Expense Supplemental,60200000.0,37300000.0,5890000.0
Diluted Average Shares,7046547266.0,8426824881.0,8426824881.0
Basic Average Shares,7046547266.0,8426824881.0,8426824881.0
Diluted EPS,0.67,0.406855,0.203183
Basic EPS,0.67,0.406855,0.203183
Diluted NI Availto Com Stockholders,4754800000.0,3428500000.0,1712190000.0
Net Income Common Stockholders,4754800000.0,3428500000.0,1712190000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,4754800000.0,3428500000.0,1712190000.0
Minority Interests,13600000.0,-100000.0,-90000.0
Net Income Including Noncontrolling Interests,4741200000.0,3428600000.0,1712280000.0
Net Income Continuous Operations,4741200000.0,3428600000.0,1712280000.0
Tax Provision,1785100000.0,1428500000.0,-1186840000.0
Pretax Income,6526300000.0,4857100000.0,525440000.0
Other Non Operating Income Expenses,436300000.0,307200000.0,-1500000.0
Special Income Charges,-600000.0,0.0,0.0
Other Special Charges,600000.0,-168990000.0,
Net Non Operating Interest Income Expense,-5525700000.0,-6493500000.0,-496510000.0
Total Other Finance Cost,58200000.0,31300000.0,8900000.0
Interest Expense Non Operating,7605100000.0,6905500000.0,498520000.0
Interest Income Non Operating,2137600000.0,443300000.0,10910000.0
Operating Income,11535700000.0,11132500000.0,1023450000.0
Operating Expense,8359100000.0,6637000000.0,531850000.0
Other Operating Expenses,1356900000.0,686300000.0,564500000.0
Depreciation And Amortization In Income Statement,7582500000.0,6427500000.0,499060000.0
Depreciation Income Statement,7582500000.0,6427500000.0,499060000.0
Research And Development,135500000.0,0.0,
Selling General And Administration,302500000.0,199300000.0,54850000.0
Selling And Marketing Expense,37900000.0,0.0,0.0
General And Administrative Expense,264600000.0,199300000.0,54850000.0
Rent And Landing Fees,60200000.0,37300000.0,5890000.0
Gross Profit,19894800000.0,17769500000.0,1555300000.0
Cost Of Revenue,1446400000.0,1205600000.0,91830000.0
Total Revenue,21341200000.0,18975100000.0,1647130000.0
Operating Revenue,21341200000.0,18975100000.0,1647130000.0
