,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,65519.34423,-2625000.0,0.0
Tax Rate For Calcs,0.284867,0.3,0.0
Normalized EBITDA,4042520000.0,2322800000.0,-5730000.0
Total Unusual Items,230000.0,-8750000.0,0.0
Total Unusual Items Excluding Goodwill,230000.0,-8750000.0,0.0
Net Income From Continuing Operation Net Minority Interest,865440000.0,-750000.0,-10920000.0
Reconciled Depreciation,1139910000.0,912020000.0,0.0
Reconciled Cost Of Revenue,1218370000.0,945950000.0,0.0
EBITDA,4042750000.0,2314050000.0,-5730000.0
EBIT,2902840000.0,1402030000.0,-5730000.0
Net Interest Income,-1681570000.0,-1361860000.0,-5170000.0
Interest Expense,1692660000.0,1376060000.0,5190000.0
Interest Income,27310000.0,19760000.0,30000.0
Normalized Income,865275519.34423,5375000.0,-10920000.0
Net Income From Continuing And Discontinued Operation,865440000.0,-750000.0,-10920000.0
Total Expenses,2759100000.0,2143540000.0,5750000.0
Rent Expense Supplemental,247870000.0,181210000.0,0.0
Diluted Average Shares,1107991489.0,1107991489.0,1107991489.0
Basic Average Shares,1107991489.0,1107991489.0,1107991489.0
Diluted EPS,0.781089,-0.000677,-0.009856
Basic EPS,0.781089,-0.000677,-0.009856
Diluted NI Availto Com Stockholders,865440000.0,-750000.0,-10920000.0
Net Income Common Stockholders,865440000.0,-750000.0,-10920000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,865440000.0,-750000.0,-10920000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,865440000.0,-750000.0,-10920000.0
Net Income Continuous Operations,865440000.0,-750000.0,-10920000.0
Tax Provision,344740000.0,26720000.0,0.0
Pretax Income,1210180000.0,25970000.0,-10920000.0
Other Non Operating Income Expenses,33040000.0,6830000.0,
Special Income Charges,230000.0,-8750000.0,0.0
Other Special Charges,-230000.0,,
Write Off,0.0,8750000.0,0.0
Net Non Operating Interest Income Expense,-1681570000.0,-1361860000.0,-5170000.0
Total Other Finance Cost,16220000.0,5560000.0,10000.0
Interest Expense Non Operating,1692660000.0,1376060000.0,5190000.0
Interest Income Non Operating,27310000.0,19760000.0,30000.0
Operating Income,2858510000.0,1389780000.0,-5750000.0
Operating Expense,1540730000.0,1197590000.0,5750000.0
Other Operating Expenses,497880000.0,405150000.0,230000.0
Selling General And Administration,145370000.0,119530000.0,5520000.0
Selling And Marketing Expense,150000.0,20000.0,0.0
General And Administrative Expense,145220000.0,119510000.0,5520000.0
Rent And Landing Fees,247870000.0,181210000.0,0.0
Gross Profit,4399240000.0,2587370000.0,0.0
Cost Of Revenue,1218370000.0,945950000.0,0.0
Total Revenue,5617610000.0,3533320000.0,0.0
Operating Revenue,5617610000.0,3533320000.0,0.0
